,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Total Cases/1 Million population,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
Saudi Arabia,"544,985",+174,"8,565 ",+5,"533,632",+202,"2,788",803,"15,375",242,"27,620,409","779,203",Asia
Ecuador,"502,146",,"32,296 ",,"443,880",,"25,970",759,"27,965","1,799","1,772,699","98,725",South America
Vietnam,"501,649","+14,922","12,476 ",+338,"270,668","+11,344","218,505",,"5,100",127,"16,083,797","163,515",Asia
Bolivia,"491,759",+419,"18,486 ",+13,"437,636","+1,140","35,637",220,"41,467","1,559","2,303,209","194,216",South America
Belarus,"487,017","+1,950","3,814 ",+11,"479,229","+1,547","3,974",,"51,560",404,"7,859,365","832,059",Europe
Guatemala,"479,376",,"12,098 ",,"416,180",,"51,098",5,"26,192",661,"2,226,033","121,626",North America
Costa Rica,"469,565",,"5,540 ",,"375,472",,"88,553",450,"91,204","1,076","2,006,420","389,709",North America
Bulgaria,"459,051",,"19,001 ",,"407,029",,"33,021",333,"66,653","2,759","4,276,501","620,939",Europe
Paraguay,"458,716",,"15,821 ",,"437,843",,"5,052",90,"63,403","2,187","1,781,035","246,172",South America
Panama,"458,638",,"7,069 ",,"444,476",,"7,093",108,"104,376","1,609","3,686,021","838,860",North America
Sri Lanka,"447,757",,"9,604 ",,"378,168",,"59,985",,"20,808",446,"4,855,036","225,624",Asia
Azerbaijan,"436,257","+3,762","5,760 ",+38,"377,287","+3,812","53,210",,"42,578",562,"4,517,734","440,926",Asia
Kuwait,"410,072",,"2,421 ",,"405,470",,"2,181",75,"94,392",557,"3,811,460","877,340",Asia
Myanmar,"406,099",,"15,600 ",,"355,764",,"34,735",,"7,406",284,"3,688,810","67,269",Asia
Slovakia,"395,532",+232,"12,549 ",+1,"381,335",+84,"1,648",27,"72,405","2,297","3,336,980","610,862",Europe
Uruguay,"385,264",,"6,034 ",,"377,868",,"1,362",15,"110,460","1,730","3,363,136","964,252",South America
Croatia,"376,417",+816,"8,355 ",+6,"363,906",+597,"4,156",57,"92,359","2,050","2,573,737","631,498",Europe
Ireland,"354,236",,"5,112 ",,"299,198",+884,"49,926",56,"70,815","1,022","6,415,912","1,282,606",Europe
Dominican Republic,"350,789",,"4,009 ",,"341,683",,"5,097",137,"31,962",365,"1,962,204","178,787",North America
Denmark,"347,909",+697,"2,587 ",+3,"333,484","+1,013","11,838",26,"59,819",445,"81,474,507","14,008,516",Europe
Palestine,"347,730",,"3,699 ",,"320,086",,"23,945",52,"66,365",706,"2,210,141","421,808",Asia
Honduras,"342,508",+990,"8,998 ",+24,"107,516",+55,"225,994",615,"33,950",892,"988,042","97,937",North America
Venezuela,"337,359",,"4,056 ",,"321,264",,"12,039",681,"11,903",143,"3,359,014","118,519",South America
Libya,"313,504","+1,388","4,308 ",+22,"225,676","+1,656","83,520",,"44,912",617,"1,542,967","221,041",Africa
Ethiopia,"310,994",,"4,711 ",,"279,448",,"26,835",663,"2,629",40,"3,255,321","27,521",Africa
Oman,"302,466",,"4,070 ",,"292,181",,"6,215",48,"57,525",774,"1,550,000","294,789",Asia
Lithuania,"301,167",+819,"4,593 ",+9,"282,242",+563,"14,332",105,"112,470","1,715","4,466,814","1,668,123",Europe
Egypt,"289,035",,"16,755 ",,"240,325",,"31,955",90,"2,764",160,"3,068,679","29,341",Africa
Bahrain,"272,709",,"1,388 ",,"270,313",,"1,008",1,"154,040",784,"5,967,724","3,370,876",Asia
Slovenia,"269,248",+610,"4,453 ",,"258,465",+334,"6,330",18,"129,491","2,142","1,457,824","701,122",Europe
Moldova,"268,892",,"6,411 ",,"257,984",,"4,497",95,"66,839","1,594","1,583,945","393,724",Europe
S. Korea,"257,110","+1,709","2,308 ",+5,"228,618","+2,396","26,184",367,"5,010",45,"13,286,682","258,895",Asia
Armenia,"243,981",+595,"4,892 ",+16,"228,214",+488,"10,875",,"82,156","1,647","1,560,430","525,446",Asia
Kenya,"238,852","+1,001","4,757 ",+11,"226,037","+1,155","8,058",135,"4,331",86,"2,397,923","43,478",Africa
Qatar,"233,280",+193,602 ,,"230,168",+204,"2,510",24,"83,083",214,"2,520,811","897,787",Asia
Mongolia,"224,989","+3,638",951 ,+3,"198,230","+2,554","25,808",192,"67,363",285,"3,647,780","1,092,172",Asia
Bosnia and Herzegovina,"216,124",+811,"9,862 ",+15,"192,218",,"14,044",,"66,359","3,028","1,148,516","352,640",Europe
Zambia,"206,884",+179,"3,611 ",+3,"201,643",+136,"1,630",99,"10,898",190,"2,296,436","120,969",Africa
Algeria,"196,915",,"5,339 ",,"134,073",,"57,503",42,"4,398",119,"230,861","5,156",Africa
Nigeria,"193,644",,"2,488 ",,"179,294",,"11,862",11,913,12,"2,779,725","13,106",Africa
North Macedonia,"178,159",,"5,987 ",,"157,294",,"14,878",,"85,519","2,874","1,169,901","561,568",Europe
Kyrgyzstan,"176,193",+175,"2,541 ",+5,"170,261",+92,"3,391",131,"26,496",382,"1,653,459","248,645",Asia
